tweet_id,timestamp,name,stage,stage,breed,rating,confidence,retweet_count,favorite_count,text,jpg_url
892420643555336193,2017-08-01 16:23:56+00:00,Phineas,,,,1.3,,7345.0,34997.0,This is Phineas. He's a mystical boy. Only ever appears in the hole of a donut. 13/10 https://t.co/MgUWQ76dJU,
892177421306343426,2017-08-01 00:17:27+00:00,Tilly,,,Chihuahua,1.3,0.323581,5480.0,30302.0,"This is Tilly. She's just checking pup on you. Hopes you're doing ok. If not, she's available for pats, snugs, boops, the whole bit. 13/10 https://t.co/0Xxu71qeIV",https://pbs.twimg.com/media/DGGmoV4XsAAUL6n.jpg
891815181378084864,2017-07-31 00:18:03+00:00,Archie,,,Chihuahua,1.2,0.716012,3624.0,22790.0,This is Archie. He is a rare Norwegian Pouncing Corgo. Lives in the tall grass. You never know when one may strike. 12/10 https://t.co/wUnZnhtVJB,https://pbs.twimg.com/media/DGBdLU1WsAANxJ9.jpg
891689557279858688,2017-07-30 15:58:51+00:00,Darla,,,Labrador Retriever,1.3,0.168086,7532.0,38257.0,This is Darla. She commenced a snooze mid meal. 13/10 happens to the best of us https://t.co/tD36da7qLQ,https://pbs.twimg.com/media/DF_q7IAWsAEuuN8.jpg
891327558926688256,2017-07-29 16:00:24+00:00,Franklin,,,Basset,1.2,0.555712,8112.0,36502.0,"This is Franklin. He would like you to stop calling him ""cute."" He is a very fierce shark and should be respected as such. 12/10 #BarkWeek https://t.co/AtUZn91f7f",https://pbs.twimg.com/media/DF6hr6BUMAAzZgT.jpg
891087950875897856,2017-07-29 00:08:17+00:00,None,,,Chesapeake Bay Retriever,1.3,0.425595,2715.0,18428.0,Here we have a majestic great white breaching off South Africa's coast. Absolutely h*ckin breathtaking. 13/10 (IG: tucker_marlo) #BarkWeek https://t.co/kQ04fDDRmh,https://pbs.twimg.com/media/DF3HwyEWsAABqE6.jpg
890971913173991426,2017-07-28 16:27:12+00:00,Jax,,,Appenzeller,1.3,0.34170300000000003,1758.0,10720.0,"Meet Jax. He enjoys ice cream so much he gets nervous around it. 13/10 help Jax enjoy more things by clicking below

https://t.co/Zr4hWfAs1H https://t.co/tVJBRMnhxl",https://pbs.twimg.com/media/DF1eOmZXUAALUcq.jpg
890729181411237888,2017-07-28 00:22:40+00:00,None,,,Pomeranian,1.3,0.566142,16468.0,58949.0,When you watch your owner call another dog a good boy but then they turn back to you and say you're a great boy. 13/10 https://t.co/v0nONBcwxq,https://pbs.twimg.com/media/DFyBahAVwAAhUTd.jpg
890609185150312448,2017-07-27 16:25:51+00:00,Zoey,,,Irish Terrier,1.3,0.487574,3768.0,25363.0,This is Zoey. She doesn't want to be one of the scary sharks. Just wants to be a snuggly pettable boatpet. 13/10 #BarkWeek https://t.co/9TwLuAGH0b,https://pbs.twimg.com/media/DFwUU__XcAEpyXI.jpg
890240255349198849,2017-07-26 15:59:51+00:00,Cassie,doggo,,Pembroke,1.4,0.511319,6378.0,28944.0,This is Cassie. She is a college pup. Studying international doggo communication and stick theory. 14/10 so elegant much sophisticate https://t.co/t1bfwz5S2A,https://pbs.twimg.com/media/DFrEyVuW0AAO3t9.jpg
890006608113172480,2017-07-26 00:31:25+00:00,Koda,,,Samoyed,1.3,0.957979,6406.0,27904.0,This is Koda. He is a South Australian deckshark. Deceptively deadly. Frighteningly majestic. 13/10 would risk a petting #BarkWeek https://t.co/dVPW0B0Mme,https://pbs.twimg.com/media/DFnwSY4WAAAMliS.jpg
889880896479866881,2017-07-25 16:11:53+00:00,Bruno,,,French Bulldog,1.3,0.377417,4343.0,25380.0,This is Bruno. He is a service shark. Only gets out of the water to assist you. 13/10 terrifyingly good boy https://t.co/u1XPQMl29g,https://pbs.twimg.com/media/DFl99B1WsAITKsg.jpg
889665388333682689,2017-07-25 01:55:32+00:00,None,puppo,,Pembroke,1.3,0.966327,8731.0,43573.0,Here's a puppo that seems to be on the fence about something haha no but seriously someone help her. 13/10 https://t.co/BxvuXk0UCm,https://pbs.twimg.com/media/DFi579UWsAAatzw.jpg
889638837579907072,2017-07-25 00:10:02+00:00,Ted,,,French Bulldog,1.2,0.99165,3896.0,24498.0,This is Ted. He does his best. Sometimes that's not enough. But it's ok. 12/10 would assist https://t.co/f8dEDcrKSR,https://pbs.twimg.com/media/DFihzFfXsAYGDPR.jpg
